line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
9호선,염창,강서구,80894.29166666666,26946.13734567901,40433.17592592592
9호선,증미,강서구,38655.430555555555,9500.137345679012,16788.96064814815
9호선,흑석,동작구,37611.152777777774,16400.118827160495,21702.877314814814
9호선2~3단계,둔촌오륜,강동구,4942.652777777778,1891.666666666667,2654.413194444445
9호선2~3단계,봉은사,강남구,92794.5324074074,32644.489197530867,47681.99999999998
9호선2~3단계,삼성중앙,강남구,38035.43518518519,9920.736111111111,16949.410879629628
9호선2~3단계,삼전,송파구,33432.00925925926,11412.22685185185,16917.1724537037
9호선2~3단계,석촌,송파구,37802.14351851852,14826.601851851854,20570.487268518522
9호선2~3단계,석촌고분,송파구,30928.912037037036,10527.734567901234,15628.028935185184
9호선2~3단계,선정릉,강남구,50427.337962962956,13849.183641975307,22993.722222222223
9호선2~3단계,송파나루,송파구,25470.87962962963,9359.132716049384,13387.069444444443
9호선2~3단계,언주,강남구,54403.314814814825,15753.077160493827,25415.636574074073
9호선2~3단계,올림픽공원,송파구,31905.337962962964,16254.0987654321,20166.908564814818
9호선2~3단계,종합운동장,송파구,20921.171296296296,8169.4382716049395,11357.371527777776
9호선2~3단계,중앙보훈병원,강동구,47080.06481481481,16673.728395061727,24275.312500000004
9호선2~3단계,한성백제,송파구,12421.240740740739,4555.87962962963,6522.219907407409
경부선,가산디지털단지,금천구,101101.81018518518,20866.067901234568,40925.003472222226
경부선,노량진,동작구,37259.73148148148,15962.930555555555,21287.13078703704
경부선,서울,중구,24413.648148148146,11521.287037037038,14744.377314814812
경부선,신길,영등포구,39628.43981481482,12628.206790123457,19378.26504629629
경부선,신도림,구로구,19283.143518518522,6366.535493827161,9595.687500000002
경부선,용산,용산구,171646.60185185185,77019.81327160496,100676.51041666667
경원선,광운대,노원구,33720.25925925926,14686.759259259261,19445.134259259255
경원선,도봉산,도봉구,24666.34722222222,14046.729938271605,16701.63425925926
경원선,서빙고,용산구,9458.736111111111,3907.961419753087,5295.655092592592
경원선,석계,노원구,34298.94907407407,15227.197530864198,19995.135416666668
경원선,신이문,동대문구,35419.99074074074,13815.138888888887,19216.35185185185
경원선,옥수,성동구,252.72685185185185,78.74228395061728,122.23842592592592
경원선,왕십리,성동구,66907.86574074074,30436.671296296292,39554.46990740741
경원선,외대앞,동대문구,34518.75925925926,17340.25771604938,21634.883101851854
경원선,응봉,성동구,7864.550925925927,3172.9645061728393,4345.86111111111
경원선,이촌,용산구,15071.439814814818,6375.277777777777,8549.318287037035
경원선,창동,도봉구,2.032407407407407,1.2145061728395063,1.4189814814814818
경원선,청량리,동대문구,64876.333333333336,35114.05864197531,42554.62731481482
경원선,한남,용산구,17244.365740740745,6494.711419753087,9182.125
경의선,가좌,서대문구,25977.995370370376,9270.288580246914,13447.215277777776
경의선,공덕,마포구,17290.796296296296,5673.83487654321,8578.075231481482
경의선,김포공항,강서구,0.08771929824561403,0.055555555555555546,0.06359649122807016
경의선,디지털미디어시티,은평구,12396.101851851852,4322.094135802469,6340.596064814813
경의선,서강대,마포구,9447.291666666666,4051.1203703703704,5400.163194444445
경의선,서울,중구,27743.171296296292,5331.952160493827,10934.756944444445
경의선,신촌,마포구,5212.129629629629,1423.4938271604942,2370.652777777778
경의선,홍대입구,마포구,9090.837962962962,4552.9799382716055,5687.444444444444
경의선,효창공원앞,용산구,16423.85185185185,4779.058641975309,7690.256944444444
경인선,온수,구로구,27740.796296296292,11219.25925925926,15349.64351851852
경춘선,신내,중랑구,10902.699074074073,3388.867283950617,5267.325231481481
공항철도 1호선,공덕,마포구,14272.393518518518,5034.452160493827,7343.937500000001
공항철도 1호선,김포공항,강서구,32661.439814814814,17570.831790123455,21343.483796296296
공항철도 1호선,디지털미디어시티,은평구,72787.30555555556,16012.970679012344,30206.554398148146
공항철도 1호선,마곡나루,강서구,53440.48611111112,11451.458333333332,21948.715277777777
공항철도 1호선,서울,중구,44727.675925925934,22625.195987654322,28150.81597222222
공항철도 1호선,홍대입구,마포구,49755.36574074074,27118.069444444445,32777.39351851852
분당선,강남구청,강남구,48895.11574074073,14880.526234567902,23384.173611111113
분당선,개포동,강남구,18429.824074074077,7780.498456790122,10442.829861111111
분당선,구룡,강남구,11326.824074074073,4571.180555555555,6260.091435185183
분당선,대모산입구,강남구,23487.629629629624,8279.581790123459,12081.593749999998
분당선,도곡,강남구,31707.657407407405,11907.080246913582,16857.22453703704
분당선,복정,송파구,4.018518518518519,1.9598765432098766,2.4745370370370368
분당선,서울숲,성동구,58291.879629629635,20757.77932098765,30141.304398148142
분당선,선릉,강남구,83588.17129629629,20199.878086419754,36046.9513888889
분당선,선정릉,강남구,39268.097222222226,10147.276234567904,17427.481481481478
분당선,수서,강남구,67131.29629629629,25477.509259259255,35890.95601851852
분당선,압구정로데오,강남구,92092.14351851853,35053.16975308642,49312.91319444446
분당선,한티,강남구,68422.4675925926,27383.31635802469,37643.104166666664
서해선,김포공항,강서구,12991.1875,6941.642361111111,8454.028645833334
신림선,보라매,동작구,16095.761111111111,5550.918518518518,8187.129166666666
신림선,샛강,영등포구,15205.4,3531.6740740740734,6450.105555555555
